file_id,voter_reg_num,last_name,first_name,dob,name_sufx_cd,type,ID,src,race,answer
1,000000002767 ,TIPTON ,BRIAN ,09/09/1960 , ,1 ,1 ,A ,W ,1
1,000000001667 ,TIPTON ,BRIANNA ,09/09/1960 , ,1 ,1 ,B ,W ,1
2,000000018540 ,BYRD ,SAL ,04/07/1960 , ,1 ,2 ,A ,W ,1
2,000000018540 ,BYRD ,SSLLY ,07/04/1960 , ,1 ,2 ,B ,W ,1
3,000000006947 ,MADELINE ,BRYANT ,09/22/1926 , ,1 ,3 ,A ,W ,1
3,000000006947 ,BRYANT ,MADELINE ,09/22/1962 , ,1 ,3 ,B ,W ,1
4,000000018335 ,CALLAHAN ,PATSY ,11/13/1948 , ,1 ,4 ,A ,B, 1
4,000000018335 ,CALLAHAN ,PATSY , , ,1 ,4 ,B ,B, 1
5,000000020502 ,MORGAN ,SAMANTHA ,03/03/1990 , ,1 ,5 ,A ,1
5,000000020502 ,ALLISON ,SAMANTHA ,03/03/1990 , ,1 ,5 ,B ,1
6,2514103292 ,DYLAN ,RODGERS ,07/15/1924 , ,1 ,6 ,A ,W ,1
6,1719852520 ,HYLEMON ,ROGER ,07/15/1963 , ,1 ,6 ,B ,B ,1
