Group ID,Reg No.,FF,First Name,Last Name,LF,DoB,Race,Reg No.,First Name,Last Name,DoB,Race,Record ID,type,Same
1,000000002767,56,BRIAN,TIPTON,124,09/09/1960,W,********27**,*****__,******,**/**/****,*,1,1,1
1,000000001667,3,BRIANNA,TIPTON,122,09/09/1960,W,********16**,*****NA,******,**/**/****,*,1,1,1
2,000000018540,1,SAL,BYRD,74,04/07/1960,W,************,SAL,****,04/07/****,*,2,1,1
2,000000018540,1,SSLLY,BYRD,63,07/04/1960,W,************,SSLLY,****,07/04/****,*,2,1,1
3,000000006947,1,BRYANT,MADELINE,1,09/22/1926,W,************,BRYANT,MADELINE,**/**/**26,*,3,1,1
3,000000006947,3,MADELINE,BRYANT,69,09/22/1962,W,************,MADELINE,BRYANT,**/**/**62,*,3,1,1
4,000000018335,18,PATSY,CALLAHAN,8,11/13/1948,B,************,*****,********,11/13/1948,*,4,1,1
4,000000018335,18,PATSY,CALLAHAN,8,,B,************,*****,********,,*,4,1,1
5,000000020502,21,SAMANTHA,MORGAN,19,03/03/1990,W,************,********,MORGAN,**/**/****,W,5,1,1
5,000000020502,21,SAMANTHA,ALLISON,7,03/03/1990,B,************,********,ALLISON,**/**/****,B,5,1,1
6,2514103292,1,RODGERS,DYLAN,1,07/15/1924,W,2514103292,**D***S,DYLAN,**/**/**24,W,6,1,1
6,1719852520,49,ROGER,HYLEMON,23,07/15/1963,B,1719852520,**_***_,HYLEMON,**/**/**63,B,6,1,1
