file_id,voter_reg_num,last_name,first_name,dob,name_sufx_cd,type,ID,src,sex,race,answer
1,8000001276,TIPTON,JAYDEN,09/09/1960,,1,1,A,M,W,1
1,8000002768,TIPTON,JADEN,09/09/1960,,1,1,B,M,W,1
2,1092091430,HENSLEY,MAURICE,02/11/1958,,1,2,B,M,W,1
2,1092091430,HENSLEY,MAURICE,02/11/1958,,1,2,B,M,W,1
3,9000018540,BYRD,SAL,04/07/1960,,1,3,A,F,W,1
3,9000018870,BIRD,SAL,04/09/1960,,1,3,B,F,W,1
4,1092091430,HENSLEY,MAURICE,02/11/1958,,1,4,B,M,W,1
4,1092091430,HENSLEY,MAURICE,02/11/1958,,1,4,B,M,W,1
5,0000006947,MADELINE,BRYANT,09/22/1926,,1,5,A,F,W,1
5,0000006947,BRYANT,MADELINE,09/22/1926,,1,5,B,F,W,1
6,1092091430,HENSLEY,MAURICE,02/11/1958,,1,6,B,M,W,1
6,1092091430,HENSLEY,MAURICE,02/11/1958,,1,6,B,M,W,1
7,0000018335,CALLAHAN,PATSY,11/13/1948,,1,7,A,F,B,1
7,?,CALLAHAN,PATSY,,,1,7,B,F,B,1
8,1092091430,HENSLEY,MAURICE,03/03/1990,,1,8,B,M,W,1
8,1092091430,HENSLEY,MAURICE,03/03/1990,,1,8,B,M,W,1
9,0000020502,MORGAN,SAMANTHA,02/11/1958,,1,9,A,F,W,1
9,0000020502,MORGAN,SAMANTHA,11/02/1958,,1,9,B,F,W,1
10,1092091430,HENSLEY,MAURICE,02/11/1958,,1,10,B,M,W,1
10,1092091430,HENSLEY,MAURICE,02/11/1958,,1,10,B,M,W,1
11,1719582520,HYLEMON,ROGRES,07/15/1924,,1,11,A,M,W,1
11,1719852520,HYLEMON,ROGERS,07/15/1942,,1,11,B,M,W,1
12,1092091430,HENSLEY,MAURICE,02/11/1958,,1,12,B,M,W,1
12,1092091430,HENSLEY,MAURICE,02/11/1958,,1,12,B,M,W,1
13,6556368585,GREENE,WILL,07/03/1950,,7,13,A,M,B,1
13,1092091430,GREENE,DAVE,07/03/1950,,7,13,A,M,W,1
