file_id,voter_reg_num,last_name,first_name,dob,name_sufx_cd,type,ID,src,sex,race,answer
1,1234567891 ,TIPTON ,BRIAN ,09/09/1960 , ,1 ,1 ,A , F, W ,1
1,1234561291 ,TIPTON ,BRIANNA ,09/09/1960 , ,1 ,1 ,B , F, W ,1
2,1092091430 ,HENSLEY ,MAURICE ,02/11/1958 ,  ,1 ,100000843 ,B , M, W ,1
2,1092091430 ,HENSLEY ,MAURICE ,02/11/1958 ,  ,1 ,100000843 ,B , M, W ,1
3,9000018540 ,BYRD ,SAL ,04/07/1960 , ,1 ,2 ,A , F, W ,1
3,9000018870 ,BIRD ,SAL ,04/09/1960 , ,1 ,2 ,B , F, W ,1
4,1092091430 ,HENSLEY ,MAURICE ,02/11/1958 ,  ,1 ,100000844 ,B , M, W ,1
4,1092091430 ,HENSLEY ,MAURICE ,02/11/1958 ,  ,1 ,100000844 ,B , M, W ,1
5,0000006947 ,MADELINE ,BRYANT ,02/05/1962 , ,1 ,3 ,A , F, W ,1
5,0000006947 ,BRYANT ,MADELINE ,05/02/1962 , ,1 ,3 ,B , F, W ,1
6,1092091430 ,HENSLEY ,MAURICE ,02/11/1958 ,  ,1 ,100000845 ,B , M, W ,1
6,1092091430 ,HENSLEY ,MAURICE ,02/11/1958 ,  ,1 ,100000845 ,B , M, W ,1
7,0000018335 ,CALLAHAN ,PATSY ,11/13/1948 , ,1 ,4 ,A , F, B, 1
7,,CALLAHAN ,PATSY , , ,1 ,4 ,B , F, B, 1
8,1092091430 ,HENSLEY ,MAURICE ,03/03/1990 ,  ,1 ,100000846 ,B , M, W ,1
8,1092091430 ,HENSLEY ,MAURICE ,03/03/1990 ,  ,1 ,100000846 ,B , M, W ,1
9,0000020502 ,MORGAN ,SAMANTHA ,02/11/1958 , ,1 ,5 , F, A ,1
9,0000020502 ,MORGAN ,SAMANTHA ,11/02/1958 , ,1 ,5 , F, B ,1
10,1092091430 ,HENSLEY ,MAURICE ,02/11/1958 ,  ,1 ,100000847 ,B , M, W ,1
10,1092091430 ,HENSLEY ,MAURICE ,02/11/1958 ,  ,1 ,100000847 ,B , M, W ,1
11,1719582520 ,HYLEMON ,ROGRES ,07/15/1924 , ,1 ,6 ,A , M, W ,1
11,1719852520 ,HYLEMON ,ROGERS ,07/15/1942 , ,1 ,6 ,B , M, W ,1
12,1092091430 ,HENSLEY ,MAURICE ,02/11/1958 ,  ,1 ,100000848 ,B , M, W ,1
12,1092091430 ,HENSLEY ,MAURICE ,02/11/1958 ,  ,1 ,100000848 ,B , M, W ,1
13,6556368585 ,GREENE ,WILL ,07/03/1950 ,  ,1 ,100005306 ,A , M, B ,1
13,1092091430 ,GREENE ,DAVE ,07/03/1950 ,  ,1 ,100005306 ,A , M, W ,1
