Group ID,Record ID,First Name,FF,Last Name,LF,Reg No.,DoB,Sex,Race,First Name,Last Name,Reg No.,DoB,Sex,Race,type,Same
11,11-A,ROGRES,1,HYLEMON,2,1719582520,07/15/1924,M,W,***RE*,*******,****58****,**/**/**24,*,*,1,1
11,11-B,ROGERS,1,HYLEMON,2,1719852520,07/15/1942,M,W,***ER*,*******,****85****,**/**/**42,*,*,1,1
10,10-B,MAURICE,12,HENSLEY,12,1092091430,02/11/1958,M,W,*******,*******,**********,**/**/****,*,*,1,1
10,10-B,MAURICE,12,HENSLEY,12,1092091430,02/11/1958,M,W,*******,*******,**********,**/**/****,*,*,1,1
13,13-A,WILL,1,GREENE,2,6556368585,07/03/1950,M,B,WILL,******,6556368585,**/**/****,*,B,7,1
13,13-A,DAVE,1,GREENE,2,1092091430,07/03/1950,M,W,DAVE,******,1092091430,**/**/****,*,W,7,1
12,12-B,MAURICE,12,HENSLEY,12,1092091430,02/11/1958,M,W,*******,*******,**********,**/**/****,*,*,1,1
12,12-B,MAURICE,12,HENSLEY,12,1092091430,02/11/1958,M,W,*******,*******,**********,**/**/****,*,*,1,1
1,1-A,JAYDEN,1,TIPTON,2,8000001276,09/09/1960,M,W,**Y***,******,******1***?,**/**/****,*,*,1,1
1,1-B,JADEN,1,TIPTON,2,8000002768,09/09/1960,M,W,**_***,******,******_***8,**/**/****,*,*,1,1
3,3-A,SAL,2,BYRD,1,9000018540,04/07/1960,F,W,***,*Y**,*******54*,**/*7/****,*,*,1,1
3,3-B,SAL,2,BIRD,1,9000018870,04/09/1960,F,W,***,*I**,*******87*,**/*9/****,*,*,1,1
2,2-B,MAURICE,12,HENSLEY,12,1092091430,02/11/1958,M,W,*******,*******,**********,**/**/****,*,*,1,1
2,2-B,MAURICE,12,HENSLEY,12,1092091430,02/11/1958,M,W,*******,*******,**********,**/**/****,*,*,1,1
5,5-A,BRYANT,1,MADELINE,1,0000006947,09/22/1926,F,W,BRYANT,MADELINE,**********,**/**/****,*,*,1,1
5,5-B,MADELINE,1,BRYANT,1,0000006947,09/22/1926,F,W,MADELINE,BRYANT,**********,**/**/****,*,*,1,1
4,4-B,MAURICE,12,HENSLEY,12,1092091430,02/11/1958,M,W,*******,*******,**********,**/**/****,*,*,1,1
4,4-B,MAURICE,12,HENSLEY,12,1092091430,02/11/1958,M,W,*******,*******,**********,**/**/****,*,*,1,1
7,7-A,PATSY,2,CALLAHAN,2,0000018335,11/13/1948,F,B,*****,********,0000018335,11/13/1948,*,*,1,1
7,7-B,PATSY,2,CALLAHAN,2,?,,F,B,*****,********,,,*,*,1,1
6,6-B,MAURICE,12,HENSLEY,12,1092091430,02/11/1958,M,W,*******,*******,**********,**/**/****,*,*,1,1
6,6-B,MAURICE,12,HENSLEY,12,1092091430,02/11/1958,M,W,*******,*******,**********,**/**/****,*,*,1,1
9,9-A,SAMANTHA,2,MORGAN,2,0000020502,02/11/1958,F,W,********,******,**********,02/11/****,*,*,1,1
9,9-B,SAMANTHA,2,MORGAN,2,0000020502,11/02/1958,F,W,********,******,**********,11/02/****,*,*,1,1
8,8-B,MAURICE,12,HENSLEY,12,1092091430,03/03/1990,M,W,*******,*******,**********,**/**/****,*,*,1,1
8,8-B,MAURICE,12,HENSLEY,12,1092091430,03/03/1990,M,W,*******,*******,**********,**/**/****,*,*,1,1
