Group ID,Record ID,First Name,FF,Last Name,LF,Reg No.,DoB,Race,First Name,Last Name,Reg No.,DoB,Race,type,Answer
1,B-19,BULA,1,ENGLAND,2,3964365191,02/15/1925,W,*_***_,*******,**********,**/**/****,*,1,1
1,A-20,BEULAH,1,ENGLAND,2,3964365191,02/15/1925,W,*E***H,*******,**********,**/**/****,*,1,1
2,A-45,DEBBIE,1,HENSLEY,1,8405281006,04/08/1967,W,DEBBIE,HENSLEY,**********,**/**/****,*,2,1
2,B-46,DEBORAH,1,MOSS,1,8405281006,04/08/1967,W,DEBORAH,MOSS,**********,**/**/****,*,2,1
3,A-99,BRIAN,1,MASON,2,1022283386,06/06/1975,W,**I**__,*****,**********,**/**/****,*,3,0
3,A-100,BRANDY,1,MASON,2,1022283386,06/06/1975,W,**_**DY,*****,**********,**/**/****,*,3,0
4,B-29,ROBINSON,1,ROY,1,5946167786,09/18/1928,W,ROBINSON,ROY,**********,**/**/****,*,4,1
4,A-30,ROY,1,ROBINSON,1,5946167786,09/18/1928,W,ROY,ROBINSON,**********,**/**/****,*,4,1
5,B-59,EDDIE,2,HONEYCUTT,3,1110804545,09/25/1954,W,*****,*********,**********,*9/**/****,*,5,1
5,A-60,EDDIE,2,HONEYCUTT,3,1110804545,07/25/1954,W,*****,*********,**********,*7/**/****,*,5,1
6,B-351,JOSEPH,1,SHOE,2,1918335120,03/31/1934,W,JOSEPH,****,********20,**/**/****,*,6,0
6,B-352,JAN,1,SHOE,2,1918335119,03/31/1934,W,JAN,****,********19,**/**/****,*,6,0
7,B-29,BRIGGS,1,MAPHRA,1,1707632237,05/16/1933,W,BRIGGS,MAPHRA,*********7,**/**/****,*,7,1
7,A-30,MAPHRA,1,BRIGGS,1,1707632236,05/16/1933,W,MAPHRA,BRIGGS,*********6,**/**/****,*,7,1
8,B-85,PATRICIA,1,RIDDLE,3,5927077791,09/03/1957,W,***RICIA,******,********9*,**/**/****,*,8,1
8,A-86,PAT,1,RIDDLE,3,5927077761,09/03/1957,W,***_____,******,********6*,**/**/****,*,8,1
9,B-19,VIOLET,2,HOILMAN,1,1097434137,01/16/1930,W,******,*O**_*A*,******41**,**/**/****,*,9,1
9,A-20,VIOLET,2,HILEMON,1,1097431437,01/16/1930,W,******,*_**E*O*,******14**,**/**/****,*,9,1
10,B-17,TERRY,2,WILSON,2,9019291811,01/03/1963,W,*****,******,*******81*,01/03/****,*,10,1
10,A-18,TERRY,2,WILSON,2,9019291181,03/01/1963,W,*****,******,*******18*,03/01/****,*,10,1
11,B-127,JESSICA,2,BUCHANAN,1,,03/19/1975,W,*******,BUCHANAN,,**/**/****,*,11,0
11,B-128,JESSICA,2,RENFRO,1,1220085976,03/19/1975,W,*******,RENFRO,1220085976,**/**/****,*,11,0
