Group ID,Record ID,First Name,FF,Last Name,LF,Reg No.,DoB,First Name,Last Name,Reg No.,DoB
1,6341,CLAUDETTE,2,MCCURRY,13,000000012358,12-17-1961,*********,MCCURR*,************,**/**/****
1,6341,CLAUDETTE,2,HENSLEY,33,000000012358,12-17-1961,*********,HENSLE*,************,**/**/****
2,3926,MILIDENE,2,BAKER-WILSO,1,000000007451,04-29-1936,********,*********** ,************,**/**/****
2,3926,MILIDENE,2,BAKER-WILSON,1,000000007451,04-29-1936,********,***********N,************,**/**/****
3,3927,OLLIE,2,LAWS,18,000000007452,11-05-1933,*****,****,************,**/**/***3
3,3927,OLLIE,2,LAWS,18,000000007452,11-05-1930,*****,****,************,**/**/***0
4,8982,KIMBERLY,24,THEODORIDES,1,000000018017,09-14-1974,********,***OD******,************,**/**/****
4,8982,KIMBERLY,24,THEISORIDES,1,000000018017,09-14-1974,********,***IS******,************,**/**/****
5,11827,MORGAN,4,COOPER,15,000000022281,02-24-1993,******,COOP**   ,************,**/**/****
5,11827,MORGAN,4,PETERSON,26,000000022281,02-24-1993,******,PET **SON,************,**/**/****
