Group ID,Reg No.,FF,First Name,Last Name,LF,DoB,Sex,Race,Reg No.,First Name,Last Name,DoB,Sex,Race,Record ID,type,Same
1,9320952205,12,EMMA,BRIGGS,109,12/29/1987,F,W,**********,****,BRIGGS,**/**/****,*,*,1,1,1
1,9320952205,11,EMMA,DEYTON,101,12/29/1987,F,W,**********,****,DEYTON,**/**/****,*,*,1,1,1
2,1777743279,10,ALEXANDER,BROST,2,05/04/1994,M,W,*********9,*******E*_,*****,**/**/****,M,*,2,2,0
2,1777743278,3,ALEXANDRA,BROST,3,05/04/1994,F,W,*********8,*******_*A,*****,**/**/****,F,*,2,2,0
3,1742682819,22,SARA,BOONE,128,05/21/1988,F,W,*****_****9,****,_______*****,**/**/****,*,*,3,3,1
3,1742668281,23,SARA,STYLES-BOONE,1,05/21/1988,F,W,*****6****?,****,STYLES-*****,**/**/****,*,*,3,3,1
4,1275606703,1,ANDR'E,BARNETT,28,10/27/1984,M,B,1275606703,ANDR'E,BARNETT,10/27/1984,M,B,4,1,0
4,1738022758,40,AMY,BANKS,125,08/24/1978,F,W,1738022758,AMY,BANKS,08/24/1978,F,W,4,1,0
5,1738637266,2,JENIFER,GIBSON,3,01/04/1974,F,W,1738637266,***_****,******,**/**/****,*,*,5,4,1
5,3964365191,85,JENNIFER,GIBSON,3,01/04/1974,F,W,3964365191,***N****,******,**/**/****,*,*,5,4,1
6,1856554310,1,GAILYA,OMONDI,1,09/29/1978,F,W,1856554310,GAILYA,OMONDI,**/**/****,*,*,6,5,1
6,,1,OMONDI,GAILYA,1,09/29/1978,F,W,,OMONDI,GAILYA,**/**/****,*,*,6,5,1
